,Cruise,Project.Name,Year,Region,Status,Location,Location.Site,Location.Site.Depth,Site,Op.Depth,Op.Site,Gear,Depth,Opcode,Genus.Species,Length,Opcode.No.Year
4177,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.a,Easter.a.D,Suomi.Is.,D,a,sBRUVS,24,8EFD1a,Lethrinus.miniatus,319,EFD1a
4178,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.a,Easter.a.D,Suomi.Is.,D,a,sBRUVS,24,8EFD1a,Lethrinus.miniatus,371.8,EFD1a
4179,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.a,Easter.a.D,Suomi.Is.,D,a,sBRUVS,24,8EFD1a,Lethrinus.sp,297.9,EFD1a
4180,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.a,Easter.a.D,Suomi.Is.,D,a,sBRUVS,24,8EFD1a,Chrysophrys.auratus,318.3,EFD1a
4181,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.a,Easter.a.D,Suomi.Is.,D,a,sBRUVS,24,8EFD1a,Chrysophrys.auratus,362.4,EFD1a
4182,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.a,Easter.a.D,Suomi.Is.,D,a,sBRUVS,24,8EFD1a,Chrysophrys.auratus,365.3,EFD1a
4183,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.a,Easter.a.D,Suomi.Is.,D,a,sBRUVS,24,8EFD1a,Chrysophrys.auratus,366,EFD1a
4184,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.a,Easter.a.D,Suomi.Is.,D,a,sBRUVS,24,8EFD1a,Chrysophrys.auratus,369.4,EFD1a
4185,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.a,Easter.a.D,Suomi.Is.,D,a,sBRUVS,24,8EFD1a,Chrysophrys.auratus,404.3,EFD1a
4186,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.a,Easter.a.D,Suomi.Is.,D,a,sBRUVS,24,8EFD1a,Chrysophrys.auratus,503.6,EFD1a
4187,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.a,Easter.a.D,Suomi.Is.,D,a,sBRUVS,24,8EFD1a,Chrysophrys.auratus,544.4,EFD1a
4188,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.a,Easter.a.D,Suomi.Is.,D,a,sBRUVS,24,8EFD1a,Plectropomus.leopardus,223.7,EFD1a
4189,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.a,Easter.a.D,Suomi.Is.,D,a,sBRUVS,24,8EFD1a,Plectropomus.leopardus,331.6,EFD1a
4190,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.a,Easter.a.D,Suomi.Is.,D,a,sBRUVS,24,8EFD1a,Plectropomus.leopardus,362.9,EFD1a
4191,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.a,Easter.a.D,Suomi.Is.,D,a,sBRUVS,24,8EFD1a,Scarus.ghobban,336.4,EFD1a
4192,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.a,Easter.a.D,Suomi.Is.,D,a,sBRUVS,24,8EFD1a,Scarus.schlegeli,170.3,EFD1a
4193,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.a,Easter.a.D,Suomi.Is.,D,a,sBRUVS,24,8EFD1a,Scarus.schlegeli,240.4,EFD1a
4194,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.a,Easter.a.D,Suomi.Is.,D,a,sBRUVS,24,8EFD1a,Thalassoma.lunare,181.7,EFD1a
4195,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.a,Pelsaert.a.D,Newman.Is.,D,a,sBRUVS,24,8PFD3a,Choerodon.rubescens,368.1,PFD3a
4196,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.c,Pelsaert.c.D,Stick.Is.,D,c,sBRUVS,24,8PFD2c,Chrysophrys.auratus,273.5,PFD2c
4197,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.c,Pelsaert.c.D,Stick.Is.,D,c,sBRUVS,24,8PFD2c,Chrysophrys.auratus,337.6,PFD2c
4198,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.c,Pelsaert.c.D,Stick.Is.,D,c,sBRUVS,24,8PFD2c,Pentapodus.nagasakiensis,101.2,PFD2c
4199,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.c,Pelsaert.c.D,Stick.Is.,D,c,sBRUVS,24,8PFD2c,Pentapodus.nagasakiensis,101.3,PFD2c
4200,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.c,Pelsaert.c.D,Stick.Is.,D,c,sBRUVS,24,8PFD2c,Pentapodus.nagasakiensis,103.9,PFD2c
4201,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.c,Pelsaert.c.D,Stick.Is.,D,c,sBRUVS,24,8PFD2c,Pentapodus.nagasakiensis,116.2,PFD2c
4202,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.c,Pelsaert.c.D,Stick.Is.,D,c,sBRUVS,24,8PFD2c,Pentapodus.nagasakiensis,129.7,PFD2c
4203,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.c,Pelsaert.c.D,Stick.Is.,D,c,sBRUVS,24,8PFD2c,Pentapodus.nagasakiensis,137,PFD2c
4204,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.b,Pelsaert.b.D,Whale.Bay,D,b,sBRUVS,24,8PFD2b,Chaetodon.aureofasciatus,110,PFD2b
4205,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.b,Pelsaert.b.D,Whale.Bay,D,b,sBRUVS,24,8PFD2b,Choerodon.rubescens,254.5,PFD2b
4206,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.b,Pelsaert.b.D,Whale.Bay,D,b,sBRUVS,24,8PFD2b,Chromis.westaustralis,39,PFD2b
